I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
training #: 10548 testing #: 1463
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K40c
major: 3 minor: 5 memoryClockRate (GHz) 0.745
pciBusID 0000:07:00.0
Total memory: 11.17GiB
Free memory: 11.10GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K40c, pci bus id: 0000:07:00.0)
training error: 3794, training loss: 10038.2695313, Testing error: 737, loss: 13652.7099609
training error: 3778, training loss: 10008.0291016, Testing error: 735, loss: 13624.0634766
training error: 3768, training loss: 9982.87226563, Testing error: 733, loss: 13597.1816406
training error: 3752, training loss: 9954.8109375, Testing error: 725, loss: 13569.7900391
training error: 3740, training loss: 9927.11474609, Testing error: 724, loss: 13542.4726562
training error: 3730, training loss: 9902.57763672, Testing error: 723, loss: 13518.59375
training error: 3725, training loss: 9875.61386719, Testing error: 725, loss: 13493.9521484
training error: 3719, training loss: 9844.5921875, Testing error: 721, loss: 13471.1367188
training error: 3706, training loss: 9821.86425781, Testing error: 715, loss: 13447.3974609
training error: 3710, training loss: 9794.75576172, Testing error: 713, loss: 13424.2998047
training error: 3711, training loss: 9765.63164062, Testing error: 711, loss: 13399.046875
training error: 3695, training loss: 9747.35629883, Testing error: 713, loss: 13378.5292969
training error: 3684, training loss: 9720.35297852, Testing error: 711, loss: 13356.1162109
training error: 3686, training loss: 9695.82675781, Testing error: 712, loss: 13338.03125
training error: 3669, training loss: 9671.64003906, Testing error: 712, loss: 13313.3183594
training error: 3666, training loss: 9648.17290039, Testing error: 713, loss: 13293.7246094
training error: 3658, training loss: 9623.73671875, Testing error: 714, loss: 13275.8007812
training error: 3873, training loss: 9597.22963867, Testing error: 740, loss: 13260.2402344
training error: 3648, training loss: 9580.04379883, Testing error: 707, loss: 13236.7607422
training error: 3922, training loss: 9548.02832031, Testing error: 757, loss: 13221.1630859
training error: 3635, training loss: 9530.58764648, Testing error: 707, loss: 13200.7675781
training error: 3621, training loss: 9505.31557617, Testing error: 705, loss: 13183.2050781
training error: 3614, training loss: 9483.47231445, Testing error: 707, loss: 13165.1796875
training error: 3840, training loss: 9463.7578125, Testing error: 731, loss: 13148.8789062
training error: 3828, training loss: 9437.01337891, Testing error: 727, loss: 13133.1699219
training error: 3840, training loss: 9419.69355469, Testing error: 739, loss: 13119.5107422
training error: 3799, training loss: 9395.63666992, Testing error: 731, loss: 13100.5175781
training error: 4093, training loss: 9373.20703125, Testing error: 771, loss: 13085.8339844
training error: 4392, training loss: 9359.6265625, Testing error: 811, loss: 13068.5292969
training error: 3567, training loss: 9336.04536133, Testing error: 707, loss: 13049.4462891
training error: 3334, training loss: 9312.29970703, Testing error: 685, loss: 13040.3164062
training error: 3878, training loss: 9290.73134766, Testing error: 749, loss: 13028.8164062
training error: 3548, training loss: 9275.96499023, Testing error: 711, loss: 13011.3232422
training error: 3549, training loss: 9250.29467773, Testing error: 713, loss: 12995.4355469
training error: 3831, training loss: 9232.06049805, Testing error: 749, loss: 12984.1816406
training error: 3737, training loss: 9208.89067383, Testing error: 743, loss: 12976.5673828
training error: 3514, training loss: 9192.31113281, Testing error: 705, loss: 12962.6875
training error: 3274, training loss: 9173.68867187, Testing error: 681, loss: 12951.1074219
training error: 3781, training loss: 9152.17114258, Testing error: 753, loss: 12937.5537109
training error: 3674, training loss: 9139.34985352, Testing error: 715, loss: 12925.5107422
training error: 3474, training loss: 9118.04907227, Testing error: 705, loss: 12913.1035156
training error: 3672, training loss: 9097.98051758, Testing error: 729, loss: 12902.3671875
training error: 3443, training loss: 9078.12358398, Testing error: 705, loss: 12891.0
training error: 3774, training loss: 9060.09785156, Testing error: 745, loss: 12879.6728516
training error: 3677, training loss: 9047.28012695, Testing error: 741, loss: 12870.8652344
training error: 3699, training loss: 9022.93720703, Testing error: 741, loss: 12862.3994141
training error: 4386, training loss: 9004.10639648, Testing error: 823, loss: 12855.2597656
training error: 3423, training loss: 8988.63227539, Testing error: 709, loss: 12837.1162109
training error: 3839, training loss: 8967.82211914, Testing error: 743, loss: 12830.5527344
training error: 2994, training loss: 8951.35151367, Testing error: 665, loss: 12816.3505859
training error: 3209, training loss: 8935.04155273, Testing error: 689, loss: 12805.6464844
training error: 3397, training loss: 8921.52788086, Testing error: 713, loss: 12797.8027344
training error: 4432, training loss: 8901.05, Testing error: 803, loss: 12793.7890625
training error: 4013, training loss: 8878.27822266, Testing error: 797, loss: 12783.8310547
training error: 3450, training loss: 8866.27348633, Testing error: 733, loss: 12773.2851562
training error: 3374, training loss: 8855.24492188, Testing error: 709, loss: 12760.7353516
training error: 3650, training loss: 8827.01210938, Testing error: 743, loss: 12750.8457031
training error: 3545, training loss: 8813.02763672, Testing error: 723, loss: 12743.7402344
training error: 3360, training loss: 8803.4515625, Testing error: 699, loss: 12735.8886719
training error: 3318, training loss: 8784.72333984, Testing error: 693, loss: 12720.7607422
training error: 3640, training loss: 8759.58999023, Testing error: 723, loss: 12714.1318359
training error: 3481, training loss: 8750.97421875, Testing error: 697, loss: 12704.2089844
training error: 4032, training loss: 8734.07490234, Testing error: 774, loss: 12699.5029297
training error: 3284, training loss: 8714.57260742, Testing error: 678, loss: 12680.0917969
training error: 3283, training loss: 8696.25537109, Testing error: 678, loss: 12669.5966797
training error: 4110, training loss: 8688.95454102, Testing error: 784, loss: 12673.75
training error: 3074, training loss: 8665.8456543, Testing error: 658, loss: 12657.5449219
training error: 3067, training loss: 8651.84365234, Testing error: 660, loss: 12648.6279297
training error: 2834, training loss: 8637.58681641, Testing error: 640, loss: 12639.1777344
training error: 3901, training loss: 8619.03242187, Testing error: 764, loss: 12630.6699219
training error: 3488, training loss: 8607.7609375, Testing error: 726, loss: 12620.6523438
training error: 4162, training loss: 8591.26499023, Testing error: 786, loss: 12617.3496094
training error: 3033, training loss: 8570.33369141, Testing error: 672, loss: 12602.0732422
training error: 3313, training loss: 8558.53920898, Testing error: 710, loss: 12597.1689453
training error: 3099, training loss: 8542.32583008, Testing error: 682, loss: 12593.0810547
training error: 4035, training loss: 8531.03359375, Testing error: 810, loss: 12589.9619141
training error: 3663, training loss: 8512.16035156, Testing error: 752, loss: 12582.5556641
training error: 3168, training loss: 8499.50361328, Testing error: 698, loss: 12569.3066406
training error: 3397, training loss: 8487.39677734, Testing error: 716, loss: 12563.7294922
training error: 3161, training loss: 8469.83085938, Testing error: 702, loss: 12555.2246094
training error: 5239, training loss: 8455.66279297, Testing error: 954, loss: 12559.5888672
training error: 2944, training loss: 8441.62456055, Testing error: 678, loss: 12546.3847656
training error: 3574, training loss: 8423.56396484, Testing error: 740, loss: 12546.3574219
training error: 3351, training loss: 8410.16401367, Testing error: 714, loss: 12537.3535156
training error: 2943, training loss: 8397.85229492, Testing error: 666, loss: 12526.5322266
training error: 3452, training loss: 8375.12680664, Testing error: 722, loss: 12518.7363281
training error: 2917, training loss: 8363.06230469, Testing error: 672, loss: 12510.2128906
training error: 2911, training loss: 8347.87431641, Testing error: 672, loss: 12505.8720703
training error: 2953, training loss: 8335.52563477, Testing error: 662, loss: 12499.2880859
training error: 3150, training loss: 8312.48432617, Testing error: 685, loss: 12494.5615234
training error: 4225, training loss: 8303.21210937, Testing error: 806, loss: 12497.4345703
training error: 2869, training loss: 8283.74091797, Testing error: 659, loss: 12479.3017578
training error: 2876, training loss: 8262.33466797, Testing error: 659, loss: 12472.5
training error: 2884, training loss: 8244.75209961, Testing error: 657, loss: 12465.1357422
training error: 3995, training loss: 8237.16987305, Testing error: 804, loss: 12472.7578125
training error: 4115, training loss: 8219.74370117, Testing error: 809, loss: 12469.5556641
training error: 3008, training loss: 8197.95268555, Testing error: 654, loss: 12452.2958984
training error: 2835, training loss: 8186.86669922, Testing error: 646, loss: 12446.3847656
training error: 3541, training loss: 8172.41269531, Testing error: 726, loss: 12443.7158203
training error: 3376, training loss: 8158.77348633, Testing error: 730, loss: 12439.2988281
training error: 3930, training loss: 8139.94824219, Testing error: 794, loss: 12436.171875
training error: 2850, training loss: 8123.57890625, Testing error: 640, loss: 12425.1035156
training error: 2633, training loss: 8110.35742188, Testing error: 615, loss: 12419.9882812
training error: 2584, training loss: 8086.38417969, Testing error: 611, loss: 12413.1669922
training error: 2823, training loss: 8070.43413086, Testing error: 641, loss: 12408.4785156
training error: 2571, training loss: 8049.25717773, Testing error: 613, loss: 12399.7929688
training error: 2774, training loss: 8044.02958984, Testing error: 636, loss: 12392.9296875
training error: 2916, training loss: 8023.246875, Testing error: 648, loss: 12389.9921875
training error: 3423, training loss: 8001.62182617, Testing error: 739, loss: 12386.7158203
training error: 2529, training loss: 7981.20644531, Testing error: 613, loss: 12370.9111328
training error: 3216, training loss: 7971.15561523, Testing error: 695, loss: 12369.8349609
training error: 3346, training loss: 7959.78847656, Testing error: 727, loss: 12367.5429688
training error: 2823, training loss: 7939.82011719, Testing error: 651, loss: 12358.3769531
training error: 2955, training loss: 7924.53017578, Testing error: 665, loss: 12351.6181641
training error: 4965, training loss: 7903.54267578, Testing error: 895, loss: 12353.1015625
training error: 3463, training loss: 7891.50336914, Testing error: 736, loss: 12342.0400391
training error: 2796, training loss: 7864.77583008, Testing error: 650, loss: 12333.21875
training error: 3402, training loss: 7853.98286133, Testing error: 720, loss: 12329.2138672
training error: 2994, training loss: 7841.24423828, Testing error: 679, loss: 12324.8193359
training error: 4199, training loss: 7823.83588867, Testing error: 785, loss: 12321.3779297
training error: 2707, training loss: 7809.91313477, Testing error: 637, loss: 12312.8574219
training error: 2877, training loss: 7794.29570313, Testing error: 665, loss: 12307.1269531
training error: 3436, training loss: 7769.09838867, Testing error: 709, loss: 12303.8925781
training error: 2955, training loss: 7754.92895508, Testing error: 695, loss: 12299.5927734
training error: 4391, training loss: 7741.43164062, Testing error: 827, loss: 12300.3105469
training error: 3264, training loss: 7726.01645508, Testing error: 713, loss: 12293.890625
training error: 3490, training loss: 7703.21240234, Testing error: 741, loss: 12288.7714844
